Category,Product Name,Price,Rating,Number of Reviews,Discounts,Link
Laptops,,"67,990.",,,,
Laptops,Results,,,,,
Laptops,"Lenovo Yoga Slim 7 Aura Edition Intel Evo Core Ultra 7 258V (32GB RAM/1TB SSD/15(38.86cm)/Copilot+ PC/Windows 11/Office Home 2024/Grey/1.53Kg), 83HM004NIN AI Laptop","1,47,990",5.0 out of 5 stars,3,(29% off),https://www.amazon.in/s?k=laptops#
Laptops,"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/FPR/Arctic Grey/1Y Onsite + Premier Support/1.38Kg), 21KG00AFIN","43,990",4.1 out of 5 stars,15,(42% off),https://www.amazon.in/s?k=laptops#
Laptops,(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),"18,499",3.4 out of 5 stars,173,(63% off),https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTPyVVAVhSIKyu5onprp5IHWwq0M9bonbPM0b7DQ7YU2D6bLz80l9dqjO0vjgWGyVaGlwPF3K8DOkNhwToj2BZoWl9lrFVhqICucatnC5ZFRAizW7uqq5UINzFVCgPCrurlOByMmQkoedpcuXkxfNjyfCMW1B-InAIZVTcdtdgZ_znsDrtmSTIMyithj-XmePYflNxcxZ4bzJScyCXte3zhA.gRBfw2wp8wOtZC0c_6kRkj2qjuqDrL36mABJK2ZZkgA&dib_tag=se&keywords=laptops&qid=1738145933&sr=8-3
Laptops,"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg","37,350",3.6 out of 5 stars,17,(19% off),https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTPyVVAVhSIKyu5onprp5IHWwq0M9bonbPM0b7DQ7YU2D6bLz80l9dqjO0vjgWGyVaGlwPF3K8DOkNhwToj2BZoWl9lrFVhqICucatnC5ZFRAizW7uqq5UINzFVCgPCrurlOByMmQkoedpcuXkxfNjyfCMW1B-InAIZVTcdtdgZ_znsDrtmSTIMyithj-XmePYflNxcxZ4bzJScyCXte3zhA.gRBfw2wp8wOtZC0c_6kRkj2qjuqDrL36mABJK2ZZkgA&dib_tag=se&keywords=laptops&qid=1738145933&sr=8-4
Laptops,"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg","24,995",3.4 out of 5 stars,5,(44% off),https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1IiCCMDoJH8gm9k2RROaTPyVVAVhSIKyu5onprp5IHWwq0M9bonbPM0b7DQ7YU2D6bLz80l9dqjO0vjgWGyVaGlwPF3K8DOkNhwToj2BZoWl9lrFVhqICucatnC5ZFRAizW7uqq5UINzFVCgPCrurlOByMmQkoedpcuXkxfNjyfCMW1B-InAIZVTcdtdgZ_znsDrtmSTIMyithj-XmePYflNxcxZ4bzJScyCXte3zhA.gRBfw2wp8wOtZC0c_6kRkj2qjuqDrL36mABJK2ZZkgA&dib_tag=se&keywords=laptops&qid=1738145933&sr=8-5
Laptops,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","67,990",4.5 out of 5 stars,"5,018",(24% off),https://aax-eu.amazon.in/x/c/JLDp2rbEkRlceptebk_U2ZMAAAGUsZInfAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBVVTDC/clv1_CEuOPUxokZA0iHrVQcAryj7Le0pUbKprsc5a6ADby9F2138Csle8Xvw18HHE8xvVjq0yzpNb3X7OfU1YAGcAHG9lPj2KLfDcLVFTYxgsVmfwILR_okfB8IkGXCRHUeW6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3149E-kvSSi3bFyjjAz9B7yl_bPrUYAZJ0SW56eH2BSUewOZSZeS98kKwbhKbe_emMHTMtTtBftOiN9YRiM-vo8C-9FHE6Fj0W5fDGy7yyiVpLUWQBqZYzQ3qkSIj0UNuzT-N52bUz1lAp3XhtVXPtM6C2xN4Sp2M752rihBP2dM-J0mRnMYGeGRQNXmq86WXy4dCTTLqaFKWEG2vEWUYQR5WaRd-NWXKXNt_6mgwAGvbmtDCdGXvtFS_CF8CoIymgGwjQSZ6zz9CBRvUEkOcgmDU2TPNZf2bSaWBD9t80ENAnfyX2DZEaVnuuFlcRCdkrZwltwGIyffMSBcrRFM49kMurj5gHo1hoWBxbIZR1XV_iKvQauLU14_bv0fej1x1vpgNqESnTclpoLLEUlOUUAAnelyi6s5GxMEfhymp2oo-ALifb1qiyQi8WRXnPkG0e4FIH-tN34TpJHiC_jF8YvCAmIxCiTBj0jDbPdr8BJm-NIGG4Cpvf5vKwPIpG7x7xLCM3TuASh2rzfNL3VYn-NgSMUsZBWi21ogFNBtg2Bls6eKUmO6cPi6TAh4gwHLv9NeX-FWp7CDnHMytveGL76Xr9Gkikiz-XvBs0styTzgiW-7mmbfo-svttsYyS3gPMAbTbgZMKi53e-84hh_MzYuOl3msxnikzBTCXIkUXQ1VC3btG-EmSe1Vd7-4YKyquXQ32WHaq9ta9WUWob3_US-bncuEvk3Rx9Fd3JSabvGxizHaG0VHBma-b16hwcJKaQP3p3__DFCojZVUsOn-XVQ8YVDvgFbRkmfUbqsPmzeUrJODYx1W1T4S5rvTgECOKazB6Cbr8fEQyiG75RIL8QaMzdJL76oOnKeXcB7rQNTHZ2og7LZgtEZbP7Yiz84IvB6ingBUWEHX8eeKGvvL68UgL3evby0yEOE_Wb9zbM3jicxQZImTGa2Clfj226HRyUwmQ3BG4ed9PAEr6luyhC51cZ2c1u4C0sGIm-fyEiYkhkFC7_yfoolm9TrZnOcEPpRYcZPmUIIx6pUrZC08SipmmSKP-LPdeNbYuCE4eoJtQiH0ZoIEplmdnWBzE_ntOEXaHY26_rVtNcK6H5rCf93DMpNuaYTunWZNgq2su2oDnaXQLFtLA_QWV75ayjDXgcuU9u7SYWOhSmaCWxUx64J_qbDmF1_QjRAz4o2LMEuHA3-GlOYyg8ZHEPE4rWtvGnJBwrwQG_l9BezHo044YMz5dQD82YQlAn-JWK6AmRUzbA_qdOz1XrcTHMUK_FYNsn9dtk9PGzqvcDrIGGNPkqoJJk-nMuX1NKp2obebbI5G59iIQ7BzlFooOV7q-0p5wgVjY4jF_X9Empvfe1gXlh_TuWuDbKKFRXpLU7wyFMI5Bg8HMLkLHWFEHyM3LANSzjV0SlPybUTWiesd0s6M7B3rslNHvikOccpoZHhXDgvx8D9q_K4o6AvN7WDthcYtXTfqpoNMmK3gW92mRemoZ1UPijc5HGQsK72-6Y2YopcxH_7JeEJ8rAJywdmzsa1QIkSAapN8EIHPtf-6lL4UuuMeV0UwP37f6za_B-uWzRt_WxmbHzYDqs/https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sxin_12_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&cv_ct_cx=laptops&keywords=laptops&pd_rd_i=B08N5W4NNB&pd_rd_r=3b09713d-83c1-4a14-8a48-5632744109a5&pd_rd_w=9Y52F&pd_rd_wg=fY73Z&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=1DS18CQ8NK5VP06A9J6N&qid=1738145933&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
Laptops,Highly rated,"35,990",4.0 out of 5 stars,456,(35% off),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDY5NzM3OTY3NjczNzUwOjE3MzgxNDU5MzM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4NjIyMTcwNjUzMjo6MDo6&url=%2FLenovo-IdeaPad-i3-1215U-Backlit-82RJ00FKIN%2Fdp%2FB0DB1WCBBS%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3Dlaptops%26keywords%3Dlaptops%26pd_rd_i%3DB0DB1WCBBS%26pd_rd_r%3D3b09713d-83c1-4a14-8a48-5632744109a5%26pd_rd_w%3Dzk1cK%26pd_rd_wg%3DfY73Z%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D1DS18CQ8NK5VP06A9J6N%26qid%3D1738145933%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Laptops,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FKIN","35,990",4.0 out of 5 stars,456,(35% off),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDY5NzM3OTY3NjczNzUwOjE3MzgxNDU5MzM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4NjIyMTcwNjUzMjo6MDo6&url=%2FLenovo-IdeaPad-i3-1215U-Backlit-82RJ00FKIN%2Fdp%2FB0DB1WCBBS%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26cv_ct_cx%3Dlaptops%26keywords%3Dlaptops%26pd_rd_i%3DB0DB1WCBBS%26pd_rd_r%3D3b09713d-83c1-4a14-8a48-5632744109a5%26pd_rd_w%3Dzk1cK%26pd_rd_wg%3DfY73Z%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3D1DS18CQ8NK5VP06A9J6N%26qid%3D1738145933%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
